DATE,MONTH,YEAR,DAY,TIME,BOROUGH,ZIP.CODE,LATITUDE,LONGITUDE,ON.STREET.NAME,CROSS.STREET.NAME,NUMBER.OF.PERSONS.INJURED,NUMBER.OF.PERSONS.KILLED,NUMBER.OF.PEDESTRIANS.INJURED,NUMBER.OF.PEDESTRIANS.KILLED,NUMBER.OF.CYCLIST.INJURED,NUMBER.OF.CYCLIST.KILLED,NUMBER.OF.MOTORIST.INJURED,NUMBER.OF.MOTORIST.KILLED,CONTRIBUTING.FACTOR.VEHICLE.1,CONTRIBUTING.FACTOR.VEHICLE.2,VEHICLE.TYPE.CODE.1,VEHICLE.TYPE.CODE.2,WEATHER,NUMBER.OF.ACCIDENT
7/1/2012,Jul,2012,Sunday,11,BROOKLYN,11213,40.676895,-73.9359247,TROY AVENUE,PACIFIC STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Aggressive Driving/Road Rage,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,Clean,0
7/1/2012,Jul,2012,Sunday,15,MANHATTAN,10012,40.7215756,-73.9977597,KENMARE STREET,LAFAYETTE STREET,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/2/2012,Jul,2012,Monday,16,MANHATTAN,10036,40.7561391,-73.9831689,WEST 44 STREET,6 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,TAXI,TAXI,Clean,0
7/2/2012,Jul,2012,Monday,19,BRONX,10455,40.8156984,-73.9167701,EAST 149 STREET,BERGEN AVENUE,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,Clean,0
7/2/2012,Jul,2012,Monday,12,MANHATTAN,10065,40.7611802,-73.9579029,EAST 63 STREET,YORK AVENUE,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,TAXI,PASSENGER VEHICLE,Fog,0
7/2/2012,Jul,2012,Monday,19,BROOKLYN,11212,40.6733017,-73.9039121,LIBERTY AVENUE,JUNIUS STREET,1,0,0,0,0,0,1,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,Clean,1
7/2/2012,Jul,2012,Monday,9,MANHATTAN,10065,40.7671845,-73.9624695,EAST 68 STREET,3 AVENUE,0,0,0,0,0,0,0,0,Other Vehicular,Other Vehicular,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,Clean,0
7/2/2012,Jul,2012,Monday,9,QUEENS,11691,40.6007117,-73.7537536,NEW HAVEN AVENUE,BEACH 20 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SMALL COM VEH(4 TIRES),PASSENGER VEHICLE,Clean,0
7/2/2012,Jul,2012,Monday,11,MANHATTAN,10016,40.7476292,-73.9767362,3 AVENUE,EAST 37 STREET,1,0,0,0,0,0,1,0,Other Vehicular,Other Vehicular,SPORT UTILITY / STATION WAGON,SMALL COM VEH(4 TIRES),Cloudy,1
7/3/2012,Jul,2012,Tuesday,17,QUEENS,11366,40.7214619,-73.8045285,164 STREET,UNION TURNPIKE,0,0,0,0,0,0,0,0,Backing Unsafely,Turning Improperly,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,Clean,0
7/3/2012,Jul,2012,Tuesday,11,MANHATTAN,10009,40.7228913,-73.9797284,EAST 5 STREET,AVENUE C,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,UNKNOWN,Fog,0
7/3/2012,Jul,2012,Tuesday,21,QUEENS,11435,40.6945453,-73.802112,SOUTH ROAD,SUTPHIN BOULEVARD,1,0,0,0,0,0,1,0,Physical Disability,Driver Inattention/Distraction,LIVERY VEHICLE,PASSENGER VEHICLE,Clean,1
7/3/2012,Jul,2012,Tuesday,16,QUEENS,11379,40.7127264,-73.8793411,METROPOLITAN AVENUE,73 PLACE,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/3/2012,Jul,2012,Tuesday,10,STATEN ISLAND,10304,40.6271383,-74.0763805,BEACH STREET,WATER STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,VAN,PASSENGER VEHICLE,Clean,0
7/3/2012,Jul,2012,Tuesday,4,MANHATTAN,10031,40.8194253,-73.9555646,BROADWAY,WEST 134 STREET,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,TAXI,PASSENGER VEHICLE,Clean,0
7/3/2012,Jul,2012,Tuesday,23,QUEENS,11434,40.6666971,-73.7671284,SOUTH CONDUIT AVENUE,FARMERS BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,VAN,Clean,0
7/3/2012,Jul,2012,Tuesday,8,BROOKLYN,11220,40.6374039,-74.0111551,59 STREET,7 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,UNKNOWN,Clean,0
7/3/2012,Jul,2012,Tuesday,11,BROOKLYN,11219,40.6301138,-74.0100046,66 STREET,FORT HAMILTON PARKWAY,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Fog,0
7/4/2012,Jul,2012,Wednesday,22,BROOKLYN,11208,40.6736499,-73.874956,BELMONT AVENUE,FOUNTAIN AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,FIRE TRUCK,Clean,0
7/4/2012,Jul,2012,Wednesday,13,BROOKLYN,11220,40.6358672,-74.0055846,9 AVENUE,57 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,Clean,0
7/4/2012,Jul,2012,Wednesday,14,BROOKLYN,11234,40.6305063,-73.9281154,UTICA AVENUE,AVENUE I,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,Clean,0
7/4/2012,Jul,2012,Wednesday,10,BROOKLYN,11208,40.6639164,-73.8671489,WORTMAN AVENUE,CRESCENT STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,UNKNOWN,Clean,0
7/4/2012,Jul,2012,Wednesday,13,QUEENS,11419,40.6866946,-73.8149753,107 AVENUE,129 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,UNKNOWN,Clean,0
7/4/2012,Jul,2012,Wednesday,18,BROOKLYN,11225,40.6639058,-73.9509752,NOSTRAND AVENUE,EMPIRE BOULEVARD,3,0,0,0,0,0,3,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,3
7/4/2012,Jul,2012,Wednesday,13,QUEENS,11385,40.7045279,-73.869387,78 ROAD,79 LANE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,UNKNOWN,Clean,0
7/5/2012,Jul,2012,Thursday,14,QUEENS,11434,40.6783648,-73.7794791,BAISLEY BOULEVARD,GUY R BREWER BOULEVARD,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/5/2012,Jul,2012,Thursday,14,MANHATTAN,10024,40.789558,-73.9773607,WEST END AVENUE,WEST 87 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,Clean,0
7/5/2012,Jul,2012,Thursday,7,STATEN ISLAND,10310,40.6343003,-74.1202397,ALASKA STREET,CASTLETON AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/5/2012,Jul,2012,Thursday,5,MANHATTAN,10013,40.7225499,-74.006299,VARICK STREET,CANAL STREET,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,SPORT UTILITY / STATION WAGON,TAXI,Clean,0
7/5/2012,Jul,2012,Thursday,20,BRONX,10467,40.8788559,-73.8734816,EAST GUNHILL ROAD,HULL AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,UNKNOWN,Clean,0
7/5/2012,Jul,2012,Thursday,13,QUEENS,11101,40.7519729,-73.9319581,HONEYWELL STREET,NORTHERN BOULEVARD,1,0,0,0,0,0,1,0,Fatigued/Drowsy,Unspecified,SPORT UTILITY / STATION WAGON,TAXI,Clean,1
7/5/2012,Jul,2012,Thursday,18,QUEENS,11104,40.7449018,-73.918349,46 STREET,43 AVENUE,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,Cloudy,0
7/5/2012,Jul,2012,Thursday,8,QUEENS,11101,40.7440288,-73.9261524,39 STREET,QUEENS BOULEVARD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,LARGE COM VEH(6 OR MORE TIRES),VAN,Clean,0
7/5/2012,Jul,2012,Thursday,13,BROOKLYN,11215,40.665508,-73.9927692,4 AVENUE,PROSPECT AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/5/2012,Jul,2012,Thursday,12,BROOKLYN,11216,40.6802409,-73.9467485,NEW YORK AVENUE,FULTON STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,VAN,Clean,0
7/5/2012,Jul,2012,Thursday,10,MANHATTAN,10002,40.7152095,-73.9842579,GRAND STREET,PITT STREET,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Fatigued/Drowsy,PASSENGER VEHICLE,MOTORCYCLE,Clean,0
7/6/2012,Jul,2012,Friday,17,BROOKLYN,11206,40.6969863,-73.9352238,MYRTLE AVENUE,BROADWAY,4,0,0,0,0,0,4,0,Driver Inattention/Distraction,Unspecified,BUS,PASSENGER VEHICLE,Clean,4
7/6/2012,Jul,2012,Friday,20,BROOKLYN,11236,40.6412326,-73.9084047,GLENWOOD ROAD,EAST 89 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,PASSENGER VEHICLE,UNKNOWN,Clean,0
7/6/2012,Jul,2012,Friday,10,STATEN ISLAND,10303,40.6215643,-74.1684829,SOUTH AVENUE,GOETHALS ROAD NORTH,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,Clean,0
7/6/2012,Jul,2012,Friday,18,MANHATTAN,10012,40.7214494,-73.9973989,KENMARE STREET,CLEVELAND PLACE,0,0,0,0,0,0,0,0,Prescription Medication,Driver Inexperience,PASSENGER VEHICLE,LARGE COM VEH(6 OR MORE TIRES),Clean,0
7/6/2012,Jul,2012,Friday,14,BROOKLYN,11223,40.591863,-73.9649552,OCEAN PARKWAY,CRAWFORD AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,Clean,0
7/7/2012,Jul,2012,Saturday,10,STATEN ISLAND,10312,40.542673,-74.1647651,LYNDALE AVENUE,AMBOY ROAD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PICK-UP TRUCK,PASSENGER VEHICLE,Clean,0
7/7/2012,Jul,2012,Saturday,3,BROOKLYN,11221,40.690566,-73.9453483,TOMPKINS AVENUE,LAFAYETTE AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,Clean,1
7/7/2012,Jul,2012,Saturday,15,QUEENS,11416,40.6876719,-73.8407432,97 AVENUE,103 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,UNKNOWN,Clean,0
7/7/2012,Jul,2012,Saturday,18,QUEENS,11422,40.6653167,-73.734299,245 STREET,SOUTH CONDUIT AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,Cloudy,0
7/7/2012,Jul,2012,Saturday,1,BRONX,10454,40.804696,-73.9223863,BRUCKNER BOULEVARD,BROWN PLACE,0,0,0,0,0,0,0,0,Brakes Defective,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,Clean,0
7/7/2012,Jul,2012,Saturday,14,MANHATTAN,10039,40.8266837,-73.9353903,7 AVENUE,WEST 153 STREET,2,0,0,0,1,0,1,0,Unspecified,Unspecified,PASSENGER VEHICLE,BICYCLE,Clean,2
7/8/2012,Jul,2012,Sunday,12,BROOKLYN,11208,40.681095,-73.8735864,EUCLID AVENUE,ATLANTIC AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,UNKNOWN,Clean,0
7/8/2012,Jul,2012,Sunday,21,BROOKLYN,11216,40.6873091,-73.947601,QUINCY STREET,MARCY AVENUE,0,0,0,0,0,0,0,0,Other Electronic Device,Unspecified,SMALL COM VEH(4 TIRES),SPORT UTILITY / STATION WAGON,Clean,0
7/8/2012,Jul,2012,Sunday,11,QUEENS,11419,40.6862342,-73.8241748,LEFFERTS BOULEVARD,LIBERTY AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/8/2012,Jul,2012,Sunday,19,MANHATTAN,10006,40.7098244,-74.0148247,WEST STREET,ALBANY STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Fog,0
7/8/2012,Jul,2012,Sunday,16,MANHATTAN,10018,40.7583771,-73.9943762,WEST 41 STREET,DYER AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,OTHER,OTHER,Clean,0
7/8/2012,Jul,2012,Sunday,2,MANHATTAN,10065,40.7673428,-73.9686716,MADISON AVENUE,EAST 65 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,TAXI,TAXI,Cloudy,0
7/8/2012,Jul,2012,Sunday,16,BROOKLYN,11208,40.6588619,-73.8659911,FOUNTAIN AVENUE,VANDALIA AVENUE,5,0,0,0,0,0,5,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,5
7/9/2012,Jul,2012,Monday,10,MANHATTAN,10001,40.7503184,-73.9911106,WEST 33 STREET,7 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,VAN,UNKNOWN,Clean,0
7/9/2012,Jul,2012,Monday,17,BROOKLYN,11207,40.6690936,-73.8971015,SUTTER AVENUE,GEORGIA AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,VAN,BUS,Cloudy,0
7/9/2012,Jul,2012,Monday,18,BRONX,10470,40.9028371,-73.8532758,MATILDA AVENUE,EAST 240 STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,UNKNOWN,BICYCLE,Cloudy,1
7/10/2012,Jul,2012,Tuesday,23,QUEENS,11368,40.7411051,-73.8538124,OTIS AVENUE,108 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,UNKNOWN,Cloudy,0
7/10/2012,Jul,2012,Tuesday,21,BROOKLYN,11206,40.7007255,-73.9419319,FLUSHING AVENUE,BROADWAY,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,OTHER,Cloudy,0
7/10/2012,Jul,2012,Tuesday,9,BROOKLYN,11213,40.6774132,-73.9303181,ATLANTIC AVENUE,UTICA AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Rain,0
7/10/2012,Jul,2012,Tuesday,19,MANHATTAN,10031,40.8235478,-73.9553848,RIVERSIDE DRIVE,WEST 139 STREET,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Unspecified,TAXI,UNKNOWN,Clean,0
7/10/2012,Jul,2012,Tuesday,13,QUEENS,11378,40.7267706,-73.8954105,69 STREET,CLINTON AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/10/2012,Jul,2012,Tuesday,22,QUEENS,11357,40.7767416,-73.7999469,23 AVENUE,FRANCIS LEWIS BOULEVARD,1,0,0,0,0,0,1,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,1
7/10/2012,Jul,2012,Tuesday,8,BROOKLYN,11204,40.6103176,-73.9830364,AVENUE O,WEST 9 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,OTHER,PASSENGER VEHICLE,Clean,0
7/10/2012,Jul,2012,Tuesday,9,QUEENS,11434,40.6629008,-73.7683672,BREWER BOULEVARD,146 ROAD,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,Rain,0
7/11/2012,Jul,2012,Wednesday,1,MANHATTAN,10009,40.724575,-73.9874918,1 AVENUE,EAST 3 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Rain,0
7/11/2012,Jul,2012,Wednesday,16,BROOKLYN,11206,40.7080712,-73.9433213,GRAHAM AVENUE,MESEROLE STREET,1,0,0,0,1,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,BICYCLE,Clean,1
7/11/2012,Jul,2012,Wednesday,21,BROOKLYN,11230,40.61617,-73.954587,OCEAN AVENUE,AVENUE N,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/11/2012,Jul,2012,Wednesday,14,STATEN ISLAND,10312,40.5507894,-74.2009707,HUGUENOT AVENUE,SUSSEX GREEN,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,Clean,0
7/11/2012,Jul,2012,Wednesday,21,QUEENS,11103,40.7651019,-73.9129021,28 AVENUE,41 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,UNKNOWN,Clean,0
7/12/2012,Jul,2012,Thursday,16,BRONX,10457,40.8477632,-73.9072782,EAST 176 STREET,WEEKS AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,Clean,0
7/12/2012,Jul,2012,Thursday,16,BROOKLYN,11218,40.6482565,-73.9713978,CATON AVENUE,CONEY ISLAND AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,1
7/12/2012,Jul,2012,Thursday,9,BROOKLYN,11229,40.5967567,-73.9334126,KNAPP STREET,AVENUE W,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,Clean,0
7/12/2012,Jul,2012,Thursday,16,BROOKLYN,11210,40.6348134,-73.9497788,FLATBUSH AVENUE,EAST 28 STREET,1,0,0,0,0,0,1,0,Outside Car Distraction,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,Clean,1
7/12/2012,Jul,2012,Thursday,18,BROOKLYN,11207,40.6866514,-73.9131379,BUSHWICK AVENUE,ELDERT STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/13/2012,Jul,2012,Friday,9,BROOKLYN,11238,40.6775149,-73.9591238,CLASSON AVENUE,BERGEN STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/13/2012,Jul,2012,Friday,18,BROOKLYN,11209,40.6235899,-74.025047,83 STREET,5 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,UNKNOWN,Clean,0
7/13/2012,Jul,2012,Friday,8,BRONX,10469,40.8597976,-73.8511909,THROOP AVENUE,ASTOR AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/13/2012,Jul,2012,Friday,14,MANHATTAN,10013,40.7162809,-74.0045344,BROADWAY,WORTH STREET,0,0,0,0,0,0,0,0,Outside Car Distraction,Unspecified,LIVERY VEHICLE,PASSENGER VEHICLE,Clean,0
7/13/2012,Jul,2012,Friday,15,BRONX,10451,40.8254139,-73.923475,GRAND CONCOURSE,EAST 158 STREET,2,0,0,0,0,0,2,0,Fatigued/Drowsy,Unspecified,PASSENGER VEHICLE,LIVERY VEHICLE,Clean,2
7/13/2012,Jul,2012,Friday,11,BRONX,10457,40.8441785,-73.897427,3 AVENUE,EAST 175 STREET,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,LARGE COM VEH(6 OR MORE TIRES),PASSENGER VEHICLE,Clean,0
7/13/2012,Jul,2012,Friday,12,MANHATTAN,10022,40.7595778,-73.9680255,EAST 56 STREET,3 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),Clean,0
7/13/2012,Jul,2012,Friday,16,QUEENS,11411,40.6894018,-73.727103,118 AVENUE,CROSS ISLAND PARKWAY,1,0,0,0,1,0,0,0,Unspecified,Unspecified,UNKNOWN,BICYCLE,Clean,1
7/14/2012,Jul,2012,Saturday,6,BRONX,10456,40.82929,-73.9164098,EAST 165 STREET,MORRIS AVENUE,2,0,0,0,0,0,2,0,Alcohol Involvement,Unspecified,VAN,VAN,Cloudy,2
7/14/2012,Jul,2012,Saturday,12,BRONX,10473,40.8228467,-73.8520792,OLMSTEAD AVENUE,LAFAYETTE AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,Cloudy,0
7/14/2012,Jul,2012,Saturday,15,BROOKLYN,11212,40.6666041,-73.913867,SUTTER AVENUE,AMBOY STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,Clean,0
7/15/2012,Jul,2012,Sunday,17,BRONX,10475,40.86832,-73.8331589,EDSON AVENUE,BARTOW AVENUE,1,0,0,0,0,0,1,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,Cloudy,1
7/15/2012,Jul,2012,Sunday,19,MANHATTAN,10065,40.7614858,-73.9605992,1 AVENUE,EAST 62 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Other Vehicular,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/16/2012,Jul,2012,Monday,18,MANHATTAN,10014,40.7342946,-74.0071625,CHARLES STREET,GREENWICH STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/16/2012,Jul,2012,Monday,18,BROOKLYN,11204,40.6138389,-73.9814363,BAY PARKWAY,65 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,PASSENGER VEHICLE,SMALL COM VEH(4 TIRES),Clean,0
7/16/2012,Jul,2012,Monday,15,BROOKLYN,11223,40.6099861,-73.9623778,AVENUE P,CONEY ISLAND AVENUE,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,SPORT UTILITY / STATION WAGON,UNKNOWN,Cloudy,0
7/16/2012,Jul,2012,Monday,14,MANHATTAN,10016,40.7457274,-73.9781227,3 AVENUE,EAST 34 STREET,1,0,0,0,0,0,1,0,Unspecified,Unspecified,TAXI,LIVERY VEHICLE,Cloudy,1
7/16/2012,Jul,2012,Monday,14,BROOKLYN,11235,40.5777999,-73.9605636,BRIGHTON 7 STREET,BRIGHTON BEACH AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,Cloudy,0
7/16/2012,Jul,2012,Monday,16,QUEENS,11421,40.6919608,-73.8633139,JAMAICA AVENUE,79 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/16/2012,Jul,2012,Monday,16,BROOKLYN,11249,40.7197689,-73.9623122,KENT AVENUE,NORTH 6 STREET,2,0,0,0,0,0,2,0,Unspecified,Unspecified,VAN,SPORT UTILITY / STATION WAGON,Clean,2
7/17/2012,Jul,2012,Tuesday,15,BRONX,10467,40.8654067,-73.8683697,ALLERTON AVENUE,OLINVILLE AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/17/2012,Jul,2012,Tuesday,18,MANHATTAN,10019,40.7604566,-73.983731,WEST 49 STREET,7 AVENUE,0,0,0,0,0,0,0,0,Prescription Medication,Unspecified,BUS,VAN,Clean,0
7/17/2012,Jul,2012,Tuesday,9,BRONX,10471,40.906862,-73.904099,RIVERDALE AVENUE,WEST 259 STREET,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/17/2012,Jul,2012,Tuesday,9,BROOKLYN,11231,40.6822732,-73.9934813,SACKETT STREET,SMITH STREET,0,0,0,0,0,0,0,0,Lost Consciousness,Unspecified,PASSENGER VEHICLE,TAXI,Clean,0
7/18/2012,Jul,2012,Wednesday,18,QUEENS,11361,40.7540907,-73.7811342,46 ROAD,FRANCIS LEWIS BOULEVARD,0,0,0,0,0,0,0,0,Backing Unsafely,Failure to Yield Right-of-Way,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,Cloudy,0
7/18/2012,Jul,2012,Wednesday,19,BROOKLYN,11203,40.6501081,-73.9302061,UTICA AVENUE,SNYDER AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,PASSENGER VEHICLE,Clean,0
7/18/2012,Jul,2012,Wednesday,17,BRONX,10467,40.8729592,-73.8749391,WEBSTER AVENUE,EAST 205 STREET,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Failure to Yield Right-of-Way,OTHER,PASSENGER VEHICLE,Cloudy,0
7/18/2012,Jul,2012,Wednesday,10,BROOKLYN,11203,40.6558272,-73.9433549,CLARKSON AVENUE,EAST 37 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,Clean,0
7/18/2012,Jul,2012,Wednesday,13,MANHATTAN,10022,40.7597856,-73.976288,WEST 52 STREET,5 AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,UNKNOWN,Cloudy,0
7/18/2012,Jul,2012,Wednesday,17,MANHATTAN,10036,40.7615008,-73.9978197,11 AVENUE,WEST 43 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,PASSENGER VEHICLE,BUS,Cloudy,0
7/19/2012,Jul,2012,Thursday,15,STATEN ISLAND,10314,40.5847956,-74.1603328,RICHMOND HILL ROAD,MARSH AVENUE,0,0,0,0,0,0,0,0,Unspecified,Unspecified,SPORT UTILITY / STATION WAGON,UNKNOWN,Fog,0
7/19/2012,Jul,2012,Thursday,13,QUEENS,11365,40.7305253,-73.8014278,168 STREET,71 AVENUE,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,PASSENGER VEHICLE,UNKNOWN,Cloudy,0
7/20/2012,Jul,2012,Friday,14,MANHATTAN,10016,40.7470784,-73.9813415,PARK AVENUE,EAST 34 STREET,0,0,0,0,0,0,0,0,Unspecified,Unspecified,TAXI,VAN,Cloudy,0
